,description_x,description_y,similarity
98,ishares nationl amt freemuni etf,ishares national amt-free muni bnd etf,0.2193877551020408
99,coca-cola co,coca-cola co/the,0.3755102040816327
100,schlumberger ltd.,schlumberger ltd,1.0
101,pimco total return fund cl p,pimco total return r,0.1673469387755102
102,pimco total return cl a,pimco tot return adm,0.2565597667638484
103,pimco income fund cl p,pimco incm inst cl,0.19047619047619047
104,vanguard emerging market etf,vanguard intl equity index f ftse emr mkt etf,0.03628117913832199
105,ford motor com,ford motor co,1.0
106,visa inc cl a div: 0.560,visa inc.,0.08928571428571429
107,chubb limited (switzerland),chubb limited com,0.10787172011661807
108,ishares exponential technologies etf,ishares exponential technologies,0.3755102040816327
109,spdr s&p dividend etf,spdr series trust s&p divid,0.06326530612244899
110,vanguard intl equity index f ftse emr mkt etf,vanguard ftse emerging mark etf iv,0.03096410978184377
111,ishares core aggressive allocati etf,ishares core aggressive allocation etf,0.6530612244897959
112,ford mtr co del com par $0.01,ford motor co,0.06326530612244899
113,templeton global bond class a,templeton global bond fund cl a,0.2193877551020408
114,linkedin corp class a common stock,linkedin corp-a,0.058309037900874626
115,amazon com inc,amazon,0.19047619047619047
116,breitburn energy partners lp com,atlas resource partners lp,0.06874328678839957
117,vanguard ext market index inst,vanguard extended market index fund admiral shares,0.049689440993788817
118,vanguard sml-cap ind-adm,vang sm cap idx adm,0.1673469387755102
119,vang tot bd mkt adm,vanguard total bond market index fund admiral shares,0.02040816326530612
120,nike inc,nike,0.3755102040816327
121,vanguard total bond market index adm,vanguard total bond market index fund institutional shares,0.04244897959183674
122,vanguard total bond market index-admiral,vanguard total bond market idx instl pls,0.13265306122448978
123,mainstay large cap growth fund i,mainstay large cap growth fund,0.6530612244897959
124,wal-mart stores,wal mart stores inc,0.3061224489795918
125,vanguard short term inflation protected,vanguard short-term inflation-protected securities etf,0.0748299319727891
126,vnguard total bond market index adm,vanguard total bond market index fund investor shares,0.058309037900874626
127,vanguard 500 index adm,vanguard 500 index fund - admiral class,0.0748299319727891
128,ishares core u.s. aggregate,ishares core us aggregate bond etf,0.13265306122448978
129,t. rowe price growth stock fd,t rowe price growth stock fund retail class,0.08163265306122448
130,vanguard small-cap index fund admiral shares,vanguard small cap index fund - admiral,0.14842300556586271
131,vanguard total intl stk indx fd inv,vanguard total intl stock index inv,0.2565597667638484
132,vanguard mid-cap index fund admiral shares,van mid cap index adm m4940,0.05380333951762523
133,tesla mtrs inc com,tesla motors inc,0.2565597667638484
134,at&t inc,at&t inc.,1.0
135,vg reit idx etf,vanguard reit index etf (vnq),0.09795918367346938
136,bp plc ads div: 2.380,bp plc spon adr,0.11930926216640503
137,trp retirement 2050,retirement 2050 fund,0.1673469387755102
138,chubb limited com,chubb limited (switzerland),0.10787172011661807
139,delta air lines inc,delta air lines inc del com,0.19047619047619047
140,anheuser busch inbev adr,anheuser busch inbev sa/nv sponsored adr isin #us03524a1088,0.017006802721088433
141,brookdale sr living inc com,brookdale sr living inc,0.3755102040816327
142,facebook inc cl a,facebook inc com,0.4795918367346939
143,dfa us large cap value prtf instl,dfa us large cap value,0.13265306122448978
144,zillow group inc shs cl c,zillow inc com usd0.0001,0.08163265306122448
145,ishares tr russell 2000,ishares russell 2000 etf,0.2193877551020408
146,jh dscpl val mdcp r6,jh disciplnd val md cp r6,0.3061224489795918
147,nextera energy inc com div: 3.080,nextera energy inc com,0.13265306122448978
148,american beacon small cap val,american beacon small cap value inv,0.2565597667638484
149,at & t inc,at&t inc.,0.4795918367346939
150,vanguard short term investment grade fund admiral,vanguard shrt trm invmnt grd-inv,0.058309037900874626
151,vanguard total bond market index fund institutional plus,vanguard total bond market index fund investor shares,0.10787172011661807
152,google inc. cmn class c,alphabet inc. class c,0.13265306122448978
153,ishares russell 1000 index fund,russell 1000 index (ishares),0.0748299319727891
154,pattern energy group inc,pattern energy inc cls a div: 1.524,0.06874328678839957
155,berkshire hathaway inc del cl b new,berkshire hathaway inc. cl b,0.19047619047619047
156,vanguard s&p 500 etf (voo),vanguard index fds s&p 500 etf div: 3.931,0.06326530612244899
157,pimco real return insitutional,pimco real return fund cl d,0.11930926216640503
158,wp carey inc com,w p carey inc,0.3061224489795918
159,comcast corporation cmn class a voting,comcast corporation class a,0.13265306122448978
160,marathon oil corp.,marathon oil corp com,0.3755102040816327
161,proshares short vix short term etf,proshares tr ii proshares short vix short-term futures etf,0.0392464678178964
162,eog resources inc com,eog resources inc,0.3755102040816327
163,amer fds smallcap wld f2,nuveen nwq small-cap value fund i,0.06874328678839957
164,ultra petroleum corp f,ultra petroleum corp com,0.4795918367346939
165,wisdomtree tr japan hedged equity fd,wisdomtree japan hedged equity fund,0.3061224489795918
166,vanguard total bond market index fund institutional plus shares,vanguard bond index total mkt investor,0.012558869701726844
167,metwest tot rtn bd m,metropolitan west total return class i,0.05380333951762523
168,boston beer company com cl a,boston beer co inc class a,0.1673469387755102
169,dfa emerging markets value,dfa emerging markets value i,0.6530612244897959
170,guggenheim mid cap val fd instl,guggenheim mid cap value fund cl i,0.1673469387755102
171,dollar tree inc com,dollar tree inc com isin #us0 sedol #2272476,0.0392464678178964
172,fidelity focused stock fund,fidelity small cap growth fund,0.09795918367346938
173,fidelity balanced,fid balanced k,0.2193877551020408
174,market vectors tr russia etf,market vectors russia etf,0.4795918367346939
175,chemours company,chemours co,0.3061224489795918
176,new perspective fund,af new perspective a,0.2193877551020408
177,fidelity spartan extnd mkt idx advtg,spartan extended mkt index investor cl,0.04591836734693877
178,intercontinentalexchange group div: 3.400,intercontinental exchange inc com,0.08928571428571429
179,vanguard long-term bond index fund,vanguard long term bond fund,0.2193877551020408
180,darling ingredients inc,darling ingredients inc com,0.3755102040816327
181,vanguard institutional index fund institutional shares,vanguard institutional index i,0.04244897959183674
182,facebook inc cl-a,"facebook, inc. cmn class a",0.14842300556586271
183,valeant pharmaceuticals intl com,valeant pharmaceuticals intl i com isin #ca1 sedol #b3xsx46,0.03352769679300291
184,eog resources inc com,eog res inc,0.14842300556586271
185,lazard emerging mkts eq open,lazard emerging markets equity,0.19047619047619047
186,anadarko pete corp,anadarko pete corp com,0.3755102040816327
187,royal dutch shell adr ea rep 2 cl a eur0.07,royal dutch shell plc sponsored adr repstg a shs,0.0392464678178964
188,energy transfer partners lp ut ltd,cheniere energy partners lp com,0.06874328678839957
189,vanguard emerging market etf,vanguard msci emerging markets etf,0.2565597667638484
190,dodge and cox stock fund,dodge & cox stk fd,0.2193877551020408
191,international business machs com,international business machines,0.3061224489795918
192,vanguard developed markets index fund investor shares,vanguard developed mrkts index invstr,0.08163265306122448
193,schlumberger limited com usd0.01,schlumberger ltd div: 2.000,0.10787172011661807
194,vanguard extended market index institutional class,vanguard ext. market idx adm,0.0392464678178964
195,vanguard scottsdale fds intermediate term corporate bond ind,vanguard intrmdt trm etf,0.012558869701726844
196,vanguard short term tax exempt fd investor shr,vanguard short term tax exempt investor,0.2193877551020408
197,vanguard short-term bondetf,vanguard bd index fd inc short term bd etf,0.058309037900874626
198,retail opportunity invts corp com isin #us9 sedol #b28yd08,retail opportunity i reit,0.017006802721088433
199,vanguard mid-cap index fund,vanguard mid-cap vipers,0.1673469387755102
200,ja solar holdings co. ltd. ads,ja solar hldgs ltd fadr 1 adr reps 5 ord shs,0.03628117913832199
201,salesforce com inc com,salesforce.com inc,0.3061224489795918
202,total s a fadr 1 adr reps 1 ord shs,total s a spon adr,0.05380333951762523
203,schwab us large cap growth etf,schwab strategic tr us large-cap growth etf isin #us80852430,0.02423469387755102
204,t. rowe price retirement 2050,t. rowe price 2050 fund,0.09795918367346938
205,ishares iboxx ig corp bond,ishares iboxx investment grade corporate bond etf,0.04591836734693877
206,american funds inc fund of amer r6,american funds income fund of america r6,0.2565597667638484
207,chipotle mexican grill inc com isin #us9 sedol #b0x7dz3,chipotle mexican grill inc com,0.0392464678178964
208,wells fargo special mid cap value a,wells fargo special mid cap value cl a,0.4795918367346939
209,xcel energy inc div: 1.360,ishares core msci emerging div: 0.995,0.04591836734693877
210,alphabet inc,alphabet inc cl c,0.3061224489795918
211,azure midstream partners lp unit ltd partner int,azure midstream partners lp com,0.058309037900874626
212,citrix systems incorporated,citrix systems inc com,0.19047619047619047
213,vanguard ttl bond mkt idx adm,vang tot bd mk is pl,0.09795918367346938
214,amphenol corp cl a,amphenol corp cl a new,0.3755102040816327
215,"arcelormittal sa, luxembourg",arcelormittal sa luxembourg ny registry sh isin #us4 sedol #b295f26,0.008746355685131192
216,honeywell intl inc,honeywell international inc com,0.10787172011661807
217,vanguard interm-term investment-grde adm,vanguard interm-term invmt-grade inv,0.1673469387755102
218,ishares msci eafe small-cap,ishares msci eafe small cap etf,0.3061224489795918
219,goldman sachs small cap value instl,gs sm cap value inst,0.08928571428571429
220,vanguard small cap etf,vanguard crsp us small cap ind ex,0.09795918367346938
221,pnc financial services,pnc financial services group inc,0.14842300556586271
222,powershares pfd port,powershares global etf preferred portfolio,0.049689440993788817
223,growth fund of america class a - american funds m/f,american growth fund of america class a,0.026333113890717574
224,vanguard total intl bd idx admiral,vanguard total international bond index fund admiral shares,0.0392464678178964
225,vanguard short term tax exempt investor,vanguard short term tax exempt fd investor shr,0.2193877551020408
226,monsanto co -,monsanto co,0.6530612244897959
227,vanguard mid cap etf,vanguard mid-cap vipers,0.2565597667638484
228,pimco total return fd cl c,total return fund (pimco),0.09795918367346938
229,vanguard shrt trm invmnt grd-inv,vang st invstgrd inv,0.09795918367346938
230,artisan international inv,artisan internatl investor class,0.09795918367346938
231,vnguard total bond market index adm,vanguard ttl bnd mrk indx inst,0.11930926216640503
232,pimco incm cl d,pimco income a,0.3061224489795918
233,dfa intl small cap value,dfa intl small cap value cl i,0.3061224489795918
234,vanguard small-cap index fund admiral shares,vanguard small cap index fund,0.08163265306122448
235,pim total rt inst,pimco total return a,0.2193877551020408
236,vanguard natural resources llc,vanguard natural resources llc com,0.3755102040816327
237,ingersoll rand plc,ingersoll-rand plc shs div: 1.280,0.08163265306122448
238,pimco total return cl a,total return fund (pimco),0.0748299319727891
239,abbott laboratories div: 1.040,abbott labs com,0.06874328678839957
240,goldman sachs mangd futures strategy a,aqr managed futures i,0.04244897959183674
241,southwest gas corp,southwest gas corp div: 1.800,0.13265306122448978
242,exone co/the,the exone company,0.1673469387755102
243,pim total rt inst,pimco total return,0.2193877551020408
244,general motors co common shares,general motors company com,0.11930926216640503
245,zillow group inc cl c,zillow group inc - c,0.6530612244897959
246,deut real estate r6,deutsche real estate sec a,0.1673469387755102
247,af new perspective a,american new perspective fd inc cl a,0.0748299319727891
248,materials sector sp etf,materials select sector spdr fund,0.10787172011661807
249,dfa us large cap value i,dfa u.s. large cap value portfolio institutional class,0.026333113890717574
250,vanguard total intl stock index fund etf,vanguard total international stock etf,0.0748299319727891
251,amgen incorporated,amgen inc com,0.19047619047619047
252,pinnacle west capital corp,pinnacle west cap corp,0.3755102040816327
253,at&t inc com,at & t inc,0.2565597667638484
254,ishares msci eafe value etf,ishares tr eafe value etf,0.3755102040816327
255,vang ext mkt idx ins,vanguard ext. market idx adm,0.13265306122448978
256,invesco growth & income fund cl y,invesco growth and income y,0.13265306122448978
257,aqr managed futures strategy r6,aqr managed futures strategy fund class i,0.11930926216640503
258,johnson & johnson com,johnson & johnson div: 3.000,0.14842300556586271
259,vanguard ftse europe etf iv,vanguard ftse europe etf div: 1.622,0.19047619047619047
260,coca cola co com,coca cola company,0.3061224489795918
261,national grid new adr each repr 5 ord gbp0.11395,national grid plc spon adr new,0.02857142857142857
262,blackrock global long short equity fd instl cl,angel oak multi strategy incm fd instl,0.026333113890717574
263,vanguard total bond market index adm,vanguard total bond market index fund institutional plus shares,0.02857142857142857
264,first eagle global class a,first eagle global fund class a (10%),0.13265306122448978
265,irobot corp,irobot corp com,0.3755102040816327
266,vanguard inflation-protected secs adm,vanguard inflation-protected securities fund admiral shares,0.049689440993788817
267,ishares 20+ year treasury bo,ishares 20+ yr treasury bnd et f,0.1673469387755102
268,spdr series trust short term h igh yield bond etf,ishares trust msci india index fd,0.02040816326530612
269,oppenheimer intl bond fd cl y,oppenheimer international bond fund a,0.09795918367346938
270,pimco fds investment grade cor p bd d,pimco investment grade corporate bond fund - class a,0.0392464678178964
271,spdr nuveen barclays short term etf,spdr nuveen barclays short term mun,0.4795918367346939
272,oppenheimer developing mkts fd cl a,oppenheimer dev markets class a,0.08928571428571429
273,vanguard total bond market index-admiral,vanguard bond index total mkt investor,0.04244897959183674
274,vanguard total bond market index adm,vanguard total bond market index fund institutional plus shares,0.02857142857142857
275,dynamic matls corp com,dynamic materials corp,0.19047619047619047
276,fid eq div income k,fidelity equity dividend income fund,0.06874328678839957
277,vanguard small cap index adm,vnguard index trust small cap idx instl,0.058309037900874626
278,american funds europacific growth-r5,af europac growth r5,0.0748299319727891
279,vang tot bd mkt adm,vang tot bd mkt inst,0.3755102040816327
280,john hancock strategic income opp fund cl i,strategic advisers core income fund,0.02857142857142857
281,harbor cap appreciation fund inv cl,harbor capital appreciation inv cl,0.1673469387755102
282,solarcity corp,solarcity corp common stock,0.10787172011661807
283,breitburn energy partners lp com,breitburn energy partners lp c,0.6530612244897959
284,regeneron pharm,regeneron pharmaceuticals inc.,0.08928571428571429
285,chevron corp,chevron corp com,0.3755102040816327
286,merck & co inc,merck & company inc new,0.1673469387755102
287,netflix inc com,netflix inc,0.3755102040816327
288,spartan us bond indx fidelity adv class,spartan u.s. bond index fd investor cl,0.08163265306122448
289,republic services,republic services inc.,0.3061224489795918
290,schwab fundamental glbl real estate index fund,fidelity sai u.s. quality index fund,0.02857142857142857
291,energy transfer equity l p com unit,energy trnfr equity lp,0.10787172011661807
292,ishares core msci emerging div: 0.995,ishares inc core msci emerging mkts etf,0.10787172011661807
293,exxon mobil corp,exxon mobil corp div: 2.920,0.13265306122448978
294,northrop grumman corp holding co,northrop grumman cp(hldg co) div: 3.200,0.08163265306122448
295,vanguard ttl bond mkt idx adm,vanguard total bond market index fund investor shares,0.03628117913832199
296,alaska air group incorporated div: 1.100,alaska air group inc com,0.06326530612244899
297,merck and co inc,merck and co inc shs,0.3755102040816327
298,vanguard reit etf index,vanguard reit index etf,0.19047619047619047
299,ishares tr core s&p small-cap etf,ishares core s&p small cap etf,0.3755102040816327
300,vang target ret 2045,vanguard target retirement 2045 inv,0.08928571428571429
301,berkshire hathaway inc del cl b,berkshire hathaway class b,0.19047619047619047
302,southern co div: 2.170,southern co,0.13265306122448978
303,vanguard total bond market index,vanguard total bond market index fund investor shares,0.05380333951762523
304,hodges small cap retail,fidelity small cap stock,0.11930926216640503
305,ishares msci switzerland capped,ishares msci switzerland capped etf,0.3755102040816327
306,sptn ext mkt idx adv,fidelity spartan extended mkt index inv,0.05380333951762523
307,select sector spdr trust energy select index,energy select sector spdr,0.02226345083487941
308,pimco total return fd cl c,pimco tot return adm,0.19047619047619047
309,chevron corp,chevron corp.,1.0
310,china mobile limited adr sponsored,china mobile ltd sp adr,0.09795918367346938
311,ishares core msci emerging markets etf,harding loevner emerging markets adv cl,0.06326530612244899
312,mvc capital inc com,mvc capital inc,0.3755102040816327
313,diageo plc new sponsored adr,diageo plc new gb spon adr,0.19047619047619047
314,spherix inc com,cliffs nat res inc com,0.11930926216640503
315,templeton global bond fund advisor class shares,templeton global bd fd adv,0.05380333951762523
316,pimco total ret fd instl,fund: pimco total return admin,0.09795918367346938
317,metr w tot rtn bond cl m,metropolitan west total return class i,0.04591836734693877
318,vanguard value etf (vtv),vanguard index fds value etf,0.08163265306122448
319,netflix com inc com,netflix inc,0.19047619047619047
320,energy transfer partners l p unit ltd partnership int,energy transfer partners lp com,0.0392464678178964
321,lzrd emrg mkts eq is,lazard emerging mkts fd instl,0.13265306122448978
322,oppenheimer developing markets y,oppenheimer developing markets fnd y,0.3755102040816327
323,ishares msci usa min vol etf,proshares short vix short term etf,0.058309037900874626
324,stag industrial inc,"stag industrials, inc. com",0.2193877551020408
325,spdr gold tr gold shs etf,spdr gold trust gold shares,0.2193877551020408
326,intl business mach,international business machs com,0.09795918367346938
327,metropolitan west totret bdm,metropolitan west total return bond i,0.14842300556586271
328,honeywell intl inc del,honeywell intl inc,0.3755102040816327
329,gopro inc-class a,gopro inc class a,1.0
330,huntington bancshares inc com,huntington bancshares inc,0.3755102040816327
331,grupo televisa sa adr,grupo televisa sa de cv gdr reptsg ordinary part ctf,0.02226345083487941
332,ishares inc msci emrg mkts min volatility etf,ishares msci emerging markets min volatility etf,0.13265306122448978
333,baidu inc spon adr,baidu inc fadr 1 adr reps 0.1 ord shs,0.04591836734693877
334,novartis ag,novartis ag- reg,0.3061224489795918
335,metwest tot rtn bd m,metropolitan west total return m,0.0748299319727891
336,ishares msci southkorea cp etf div: 1.202,ishares msci south korea cap,0.0748299319727891
337,price t rowe group inc com isin #us74144t1088 sedol #2702337,c h robinson worldwide inc com new isin #us12541w2098 sedol,0.01122448979591837
338,delta air lines inc dela new,delta air lines inc,0.1673469387755102
339,yum brands inc,"yum brands, inc. cmn",0.2565597667638484
340,vanguard short term bond index admiral,vang st bd idx is pl,0.049689440993788817
341,pimco total return fund cl p,total return fund (pimco),0.10787172011661807
342,vang midcap idx inst,vanguard mid-cap index fund institutional,0.05380333951762523
343,vanguard total bond market index admiral,vanguard total bond market index fund institutional plus shares,0.03628117913832199
344,jpmorgan chase & co div: 1.760,jp morgan chase & co com,0.13265306122448978
345,halyard health inc,halyard health inc com,0.3755102040816327
346,american intl group inc,american intl group inc com new,0.19047619047619047
347,w p carey inc,wp carey inc com,0.3061224489795918
348,fedex corporation com,fedex corp,0.13265306122448978
349,dominion resources inc/va,dominion res inc va,0.2193877551020408
350,american funds euro pacific growth r6,american europacific growth r6 m5585,0.10787172011661807
351,sierra wireless inc,sierra wireless inc com isin #ca4 sedol #2418968,0.02857142857142857
352,newell rubbermaid inc cmn,newell rubbermaid inc,0.3755102040816327
353,new york cmnty bancorp inc,new york community bancorp com,0.2193877551020408
354,kohls corp,kohls corp com,0.3755102040816327
355,artisan intl value fund inv,artisan international value fund # 1466 closed to new,0.03096410978184377
356,vanguard growth index inv,vanguard growth index fd admiral share,0.08928571428571429
357,amg yacktman fund service class,amg yacktman,0.06326530612244899
358,lendingtree inc new,lendingtree inc,0.3755102040816327
359,american funds american hi inc tr r3,american funds high income trust a,0.0748299319727891
360,vanguard ttl bond mkt idx adm,vanguard total bond market index fund institutional plus,0.02857142857142857
361,micron technology,micron technology inc com,0.19047619047619047
362,amg managers cadence emerging co svc,ishares msci emerging mkts,0.058309037900874626
363,energy select sector spdr etf iv,energy select sector spdr,0.2193877551020408
364,schwab funda emg mkts large etf iv,schwab strategic tr schwab fundamental emerging mkts large c,0.01396348012889366
365,vang growth idx adm,vanguard growth index fd admiral share,0.06326530612244899
366,netflix com inc com,netflix com inc,0.3755102040816327
367,wisdomtree invts inc com,wisdomtree investmnt,0.19047619047619047
368,vanguard extd mkt etf,vanguard extended marketetf iv,0.13265306122448978
369,pimco total return instl,pimco total return fd cl c,0.2565597667638484
370,vanguard total bond index adm,vang tot bd mkt inst,0.0748299319727891
371,schwab strategic tr intl equity etf,schwab strategic tr intl equity etf isin #us8085248057 sedol,0.0392464678178964
372,vanguard mid-cap index inv,vanguard mid cap index investor cl,0.1673469387755102
373,pimco total return fund cl p,pimco tot return adm,0.14842300556586271
374,spdr ser tr nuveen barclays short isin #us0 sedol #b28lxf4,spdr nuveen barclays short term etf,0.03096410978184377
375,new horizons fund,t. rowe price new horizons,0.06326530612244899
376,zillow group inc cl a isin #us8 sedol #bvyjbr3,rayonier inc com isin #us7549071030 sedol #2473138,0.026333113890717574
377,ishares s&p 500 value etf iv,ishares s&p 500 value etf,0.4795918367346939
378,goldman sachs mgd futures strat a,aqr fds aqmixmanaged futures strategy fd i,0.04591836734693877
379,the oakmark international fund - class i,harris oakmark international fund cl i,0.13265306122448978
380,kinder morgan inc del,kinder morgan inc. del,1.0
381,vanguard long-term tax-exempt fund admiral shares,vanguard convertible securities fund,0.02423469387755102
382,vanguard high-yield corporate fund investor shares,vanguard high yield corp bd-inv,0.049689440993788817
383,zimmer biomet hldgs inc com,zimmer biomet hldgs,0.19047619047619047
384,rogers communications inc. (b),rogers comm inc cl b (bc) div: 1.360,0.05380333951762523
385,sector spdr tr shs ben int consumer staples,select sector spdr trust consumer staples index,0.04591836734693877
386,wisdomtree japan hedged equity etf,wisdomtree japan hedged equity fund,0.3755102040816327
387,royce value trust inc div: 1.200,keycorp new div: 0.300,0.06326530612244899
388,verisign inc,verisign inc com,0.3755102040816327
389,vanguard total bond market index fund admiral shares,vanguard total bond market index fund institutional plus,0.08928571428571429
